2024-11-22 12:17:05 [main] INFO  tria.Main - SISTEMA INICIANDO... 
2024-11-22 12:17:34 [grizzly-http-server-0] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:17:35 [grizzly-http-server-1] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:20:34 [grizzly-http-server-2] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:20:35 [grizzly-http-server-3] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:21:48 [grizzly-http-server-4] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:21:48 [grizzly-http-server-5] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:23:24 [grizzly-http-server-6] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:23:24 [grizzly-http-server-7] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:25:06 [grizzly-http-server-8] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:25:06 [grizzly-http-server-9] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:25:09 [grizzly-http-server-10] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:25:10 [grizzly-http-server-11] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:25:10 [grizzly-http-server-0] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null) 
2024-11-22 12:25:11 [grizzly-http-server-1] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null) 
2024-11-22 12:25:12 [grizzly-http-server-2] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:25:12 [grizzly-http-server-3] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:27:59 [grizzly-http-server-10] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:27:59 [grizzly-http-server-11] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:28:02 [grizzly-http-server-0] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:28:02 [grizzly-http-server-1] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:28:04 [grizzly-http-server-2] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:28:04 [grizzly-http-server-3] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:30:02 [grizzly-http-server-4] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:30:02 [grizzly-http-server-5] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:35:29 [grizzly-http-server-6] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:35:29 [grizzly-http-server-7] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:35:32 [grizzly-http-server-8] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:35:32 [grizzly-http-server-9] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 12:42:38 [grizzly-http-server-10] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:42:38 [grizzly-http-server-11] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:42:43 [grizzly-http-server-0] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:42:43 [grizzly-http-server-1] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null) 
2024-11-22 12:42:46 [grizzly-http-server-2] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:42:46 [grizzly-http-server-3] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:42:49 [grizzly-http-server-4] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:42:49 [grizzly-http-server-5] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:49:07 [grizzly-http-server-6] INFO  tria.entidades.Bateria - Buscado por ID: Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0) 
2024-11-22 12:49:07 [grizzly-http-server-7] INFO  tria.entidades.Bateria - Buscado por ID: Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0) 
2024-11-22 12:49:09 [grizzly-http-server-8] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:49:09 [grizzly-http-server-9] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:49:22 [grizzly-http-server-10] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
2024-11-22 12:49:22 [grizzly-http-server-11] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
2024-11-22 12:49:25 [grizzly-http-server-0] INFO  tria.entidades.PlacaBateria - Buscado por ID: PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0) 
2024-11-22 12:49:25 [grizzly-http-server-1] INFO  tria.entidades.PlacaBateria - Buscado por ID: PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0) 
2024-11-22 12:49:27 [grizzly-http-server-2] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
2024-11-22 12:49:27 [grizzly-http-server-3] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
2024-11-22 12:58:35 [grizzly-http-server-4] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:58:36 [grizzly-http-server-5] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
2024-11-22 12:58:38 [grizzly-http-server-6] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
2024-11-22 12:58:38 [grizzly-http-server-7] INFO  tria.entidades.PlacaBateria - Listados: [PlacaBateria(tensao_nominal=400.0, capacidade_ah=150.0, capacidade_kwh=60.0)] 
